s1,s2,s3,s4,s5,s6,label
-5280,26792,16444,32767,-7715,32767,tilt
-3752,21696,13024,32767,-16388,29732,tilt
-3296,19172,11852,7984,-17807,18244,tilt
-4968,20828,11960,-31125,2214,474,tilt
-3036,23500,10536,-32768,19278,-20848,tilt
3112,31136,8960,-32768,18921,-26957,tilt
2840,32440,11932,-32768,25084,-31615,tilt
5052,30152,12536,-32768,32767,-32768,tilt
2548,22312,6672,-32768,32767,-30010,tilt
2160,8856,-3816,-32768,32767,-20861,tilt
448,-12480,-24172,-17537,27341,-1251,tilt
-4612,-14504,-27440,32767,-21857,16677,tilt
3988,20584,-1780,32767,-32768,32767,tilt
5008,32767,11340,32767,-29847,32767,tilt
-1348,32767,19420,32767,-11702,32767,tilt
-2112,32767,16836,32767,-9983,32767,tilt
-7276,23888,15744,32767,-14319,32767,tilt
-13668,22404,18500,-6891,-16243,15373,tilt
-1,-1,-1,-1,-1,-1,tilt
-1,-1,-1,-1,-1,-1,tilt
4728,32767,1744,0,0,0,tilt
2936,32556,3788,-32768,22543,-32768,tilt
2436,24388,3912,-32768,29343,-32768,tilt
2016,11404,-320,-32768,32767,-25091,tilt
-1960,-4104,-14256,-32768,23316,-10817,tilt
-3912,-15920,-22432,32767,-24214,8855,tilt
1128,6560,-6748,32767,-32768,21294,tilt
6288,32767,10952,32767,-32768,25188,tilt
4344,32767,18448,32767,-32768,24475,tilt
2488,32767,25220,32767,-18384,25331,tilt
-1076,25296,23344,32767,-9170,24603,tilt
-7092,19652,20880,5255,-7862,15977,tilt
-6360,20592,19124,-32768,13115,-5334,tilt
-2504,26956,10420,-32768,32767,-26032,tilt
4152,32372,4624,-32768,30891,-29252,tilt
4912,30220,5424,-32768,28647,-26625,tilt
3620,25816,7284,-32768,32767,-23899,tilt
340,15264,3680,-32768,32767,-22558,tilt
-2856,3880,-7036,-32768,32767,-20811,tilt
-4868,-13336,-19088,-2671,4274,-9956,tilt
-2892,-12860,-16848,32767,-32768,7538,tilt
2984,16228,3316,32767,-32768,13458,tilt
6392,32767,16224,32767,-32768,15535,tilt
2664,32767,22164,32767,-20072,19183,tilt
-2176,32767,23980,32767,-7913,21043,tilt
-4280,23188,21636,32767,-3387,19733,tilt
-8348,17052,17216,10220,-3292,12085,tilt
-6124,16560,15748,-32768,17311,-4947,tilt
-2216,24152,8440,-32768,32767,-24108,tilt
1868,31460,2984,-32768,31103,-29832,tilt
2448,32767,3348,-32768,25744,-32768,tilt
2184,28800,5056,-32768,28545,-32768,tilt
3796,15788,-2784,-32768,32145,-28516,tilt
220,-5944,-18724,-32768,279,-8461,tilt
-6248,-17728,-22228,32767,-32768,6887,tilt
572,11600,2548,32767,-32768,1581,tilt
9712,31804,21340,32767,-32682,5625,tilt
2324,32767,25628,32767,-12776,9752,tilt
392,26100,25384,32767,4205,14850,tilt
-3472,18952,19616,32767,6717,18565,tilt
-7988,17792,19748,-6591,-2003,10577,tilt
-4356,22060,17128,-32768,7630,-5869,tilt
-136,26692,9648,-32768,31550,-19662,tilt
3044,27708,6692,-32768,27626,-18980,tilt
2888,24888,8696,-32768,32145,-17886,tilt
2876,19616,9768,-32768,32767,-14591,tilt
-868,10348,3900,-32768,32767,-11119,tilt
-4420,-1768,-10452,-32768,29278,-6034,tilt
-6700,-16432,-22236,21166,-18498,2880,tilt
-3768,-1332,-10076,32767,-32768,4700,tilt
10688,26696,10028,32767,-32768,8807,tilt
11332,32767,20844,32767,-32768,16732,tilt
4496,32767,24144,32767,-13172,24917,tilt
232,27112,20848,32767,-12534,26400,tilt
